brand,model,year,trim_version,price,location,mileage,fuel_type,gearbox,body_condition,body_color,interior_color,ad_url,scrape_date,car_age
کی,ام سی، X5,1404,1.5لیترتوربو,1890000000.0,تهران/17شهریور,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-zyfeqmoh-kmc-x5-1.5literturbo-1404,2025-06-08 18:56:40.622481,0
دنا,پلاس EF7P,1404,6دنده,1230000000.0,تهران/سعیدآباد,0,بنزینی,دنده‌ای,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-okvgektu-dena-plusef7p-6mt-1404,2025-06-08 18:56:38.716814,0
ام,وی ام، X55 PRO,1403,IE,1050000000.0,تهران/استادمعین,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-tdxbhxg8-mvm-x55pro-ie-1403,2025-06-08 18:56:33.470196,1
بی,ای سی، X3 PRO,1404,1.5لیتر,600000000.0,تهران/پونک,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-hufaazxv-bac-x3pro-1.5liter-1404,2025-06-08 18:56:31.810841,0
زامیاد,وانت نیسان,1404,بنزین,420000000.0,تهران/جمهوری,0,بنزینی,دنده‌ای,بدون رنگ,آبی,داخلآبی,https://bama.ir/car/detail-nczyet7a-zamyad-pickup-gas-1404,2025-06-08 18:56:23.856955,0
فونیکس,FX,1404,پریمیومFWD,990000000.0,تهران/تهرانپارسشرقی,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-xre3xwte-fownix-fx-premium-1404,2025-06-08 18:56:17.445770,0
پیش,فروش کی ام سی، T8,1403,دنده‌ای,1980000000.0,تهران/رسالت,0,بنزینی,دنده‌ای,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-vypo4ncg-kmc-t8-1403,2025-06-08 18:56:15.504710,1
جک,S5,1403,1.5لیتراتوماتیک,1109000000.0,تهران/دانشگاهشریف,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-geo5vmuy-jac-s5-at1500-1403,2025-06-08 18:56:09.554752,1
جک,S5,1403,1.5لیتراتوماتیک,1029000000.0,تهران/دانشگاهشریف,0,بنزینی,اتوماتیک,بدون رنگ,خاکستری,داخل مشکی,https://bama.ir/car/detail-8jbvqfhr-jac-s5-at1500-1403,2025-06-08 18:56:06.017800,1
کوییک,GXR,1404,Lدندهای,318000000.0,تهران/جنت‌آبادجنوبی,0,بنزینی,دنده‌ای,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-ul0qlpgt-quick-gxr-lmt-1404,2025-06-08 18:55:52.326941,0
ام,وی ام، X22 PRO,1403,دنده‌ای,560000000.0,تهران/یوسفآباد,0,بنزینی,دنده‌ای,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-pbmnjxtf-mvm-x22pro-mt-1403,2025-06-08 18:55:44.327411,1
فونیکس,تیگو 8 پرو هیبرید,1403,eپلاس,3200000000.0,تهران/تهرانپارسشرقی,0,هیبریدی,اتوماتیک,بدون رنگ,مشکی,داخلمارون,https://bama.ir/car/detail-wdypt0eg-fownix-tiggo8prohybrid-eplus-1403,2025-06-08 18:55:42.647108,1
جک,جی 4,1404,اتوماتیک,950000000.0,تهران/صدر,0,بنزینی,اتوماتیک,بدون رنگ,خاکستری,داخل مشکی,https://bama.ir/car/detail-qszcw7ja-jac-j4-1404,2025-06-08 18:55:38.997171,0
