full_title,year,brand,model,price,location,mileage,gearbox,ad_url,scrape_date
پژو، پارس,,پژو،,پارس,780000000,تهران/کویفردوس,34000km,گیربکس,https://bama.ir/car/detail-b7at4exo-peugeot-pars-elxxu7p-1402,2025-05-31 15:02:46.353901
پژو، 207,,پژو،,207,1085000000,تهران/سعادت‌آباد,صفر,گیربکس,https://bama.ir/car/detail-nfe6qyge-peugeot-207-automaticpanoramatu5p-1404,2025-05-31 15:02:48.146524
پژو، 207,,پژو،,207,930000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-txwmfp7k-peugeot-207-manualpanorama-1404,2025-05-31 15:02:50.316881
پژو، پارس,,پژو،,پارس,350000000,سیرجان,320000km,گیربکس,https://bama.ir/car/detail-3a5xwg1e-peugeot-pars-elxxum-1395,2025-05-31 15:02:52.466935
پژو، 206,,پژو،,206,615000000,تهران/شهرانشمالی,35000km,گیربکس,https://bama.ir/car/detail-qo2itymx-peugeot-206ir-type2-1401,2025-05-31 15:02:53.834852
پژو، 207,,پژو،,207,1090000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-fashuyvg-peugeot-207-automaticpanoramatu5p-1404,2025-05-31 15:02:55.787967
پژو، 207,,پژو،,207,توافقی,تهران/قیطریه,صفر,گیربکس,https://bama.ir/car/detail-pzych0ay-peugeot-207-automaticpanoramatu5p-1404,2025-05-31 15:02:58.058754
پژو، 207,,پژو،,207,758000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-dpjfc08z-peugeot-207-tu3mt-1404,2025-05-31 15:03:00.223614
پژو، 207,,پژو،,207,1040000000,تهران/جمهوری,صفر,گیربکس,https://bama.ir/car/detail-whmbs85n-peugeot-207-automaticpanoramatu5p-1403,2025-05-31 15:03:02.502361
پژو، 207,,پژو،,207,1035000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-rxilnlnd-peugeot-207-attu5p-1404,2025-05-31 15:03:04.428698
پژو، 207,,پژو،,207,650000000,تهران/صادقیه,77000km,گیربکس,https://bama.ir/car/detail-j5su4xxd-peugeot-207-mt-1396,2025-05-31 15:03:06.762266
پژو، 207,,پژو،,207,توافقی,تهران/میرداماد,صفر,گیربکس,https://bama.ir/car/detail-utkq54jk-peugeot-207-mt-1404,2025-05-31 15:03:08.265554
پژو، 207,,پژو،,207,880000000,تهران/توحید,صفر,گیربکس,https://bama.ir/car/detail-qhqhctpl-peugeot-207-manualpanorama-1404,2025-05-31 15:03:09.934075
پژو، 207,,پژو،,207,835000000,ساری,48000km,گیربکس,https://bama.ir/car/detail-r3cwzoqk-peugeot-207-at-1399,2025-05-31 15:03:11.414011
